ProductName,Current_Price,MRP,Proccessor,Ram,Storage
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
ASUS VivoBook 15 (2022) Core i3 10th Gen,32990,45990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
HP Pavilion Ryzen 5 Hexa Core AMD R5,52990,63539,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo Intel Celeron Dual Core,28490,40490,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,256 GB SSD
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5,63990,71990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
acer Aspire 3 Ryzen 3 Dual Core 3250U,26990,42999,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD
HP 14s Intel Core i3 11th Gen,35990,47206,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
Lenovo V15 G2 Core i3 11th Gen,33999,59760,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
RedmiBook Pro Core i5 11th Gen,39990,59999,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
HP Intel Core i5 11th Gen,52990,56903,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
HP Ryzen 3 Dual Core 3250U,29990,43631,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD
HP Ryzen 5 Hexa Core 5500U,45727,59778,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook Ultra 14 (2022) Core i5 11th Gen,56990,81990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
ASUS VivoBook 14 (2021) Celeron Dual Core,23990,33990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,256 GB SSD
DELL Vostro Core i3 11th Gen,42290,58489,Processor: Intel i3-1115G4 (Base- 1.7 GHz & Turbo up to 4.10 GHz) 2 Cores,RAM & Storage: 8GB DDR4 & 1TB HDD + 256GB SSD,"Display: 15.6"" FHD WVA AG Narrow Border"
HP 15s Intel Core i3 11th Gen,40990,50585,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 15 Touch Core i3 11th Gen,41990,60990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
HP 15s Intel Core i5 12th Gen,56899,70235,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo V15 G2 Core i3 11th Gen,35999,60120,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
HP Ryzen 5 Hexa Core 5500U,50490,59108,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 15 Core i3 10th Gen,33990,50990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
HP G8 Ryzen 3 Dual Core AMD Ryzen 3 3250U,28490,40528,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo Celeron Dual Core,19990,36000,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,256 GB HDD|256 GB SSD
HP 14s Intel Core i5 12th Gen,58899,75191,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
ASUS Core i7 11th Gen,56990,80990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
Infinix INBook X1 Neo Series Celeron Quad Core,20990,29990,Intel Celeron Quad Core Processor,4 GB LPDDR4X RAM,128 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7,59990,82990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 15 Core i3 11th Gen,39990,50990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
HP Ryzen 5 Hexa Core 5500U,50499,63289,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
MSI Core i5 11th Gen,59990,78990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Inspiron Core i3 11th Gen,42490,61202,Processor: Intel i3-1115G4 (Base- 1.70 GHz & Turbo up to 4.10 GHz) 2 Cores,RAM & Storage: 8GB DDR4 & 1TB + 256GB SSD,"Display: 15.6"" FHD WVA AG Narrow Border"
SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2,32990,47990,Qualcomm Snapdragon 7c Gen 2 Processor,4 GB LPDDR4X RAM,35.56 cm (14 Inch) Display
Lenovo Ryzen 5 Hexa Core 5600H,59490,89490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,256 GB SSD
MSI Bravo 15 Ryzen 5 Hexa Core AMD R5,49990,72990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 15 Core i3 10th Gen,33990,50990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
HP Pavilion Ryzen 5 Hexa Core 5625U,53990,63325,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
acer Aspire 7 Ryzen 5 Hexa Core 5500U,58990,89999,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad Gaming Core i5 11th Gen,52990,76890,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo Intel Core i3 10th Gen,33990,50290,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,256 GB SSD
Lenovo Celeron Dual Core,28490,40490,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,256 GB SSD
acer Extensa Core i5 11th Gen,42990,57999,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Inspiron Core i3 11th Gen,54300,68658,Processor: Intel i3-1125G4 (2.00 GHz up to 3.70 GHz),RAM & Storage: 8GB DDR4 (2 DIMM Slots) & 256GB SSD,"Display: 14.0"" FHD WVA Truelife Touch Narrow Border 60Hz"
HP 14s Intel Core i3 11th Gen,41990,49509,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Core i5 12th Gen,57990,75649,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores,RAM & Storage: 8GB DDR4 & 512GB SSD,"Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border"
HP Ryzen 3 Quad Core 5300U,38490,45991,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
HP Pavilion Ryzen 5 Hexa Core 5625U,61990,69082,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,33990,59390,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,256 GB SSD
acer Extensa Core i3 11th Gen,32990,39999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5,53990,78990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD
HP 15s Intel Core i3 12th Gen,47490,56260,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7,59990,82990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
ASUS Vivobook 15 Core i5 11th Gen,50990,69990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 15 Core i5 12th Gen,59490,72990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 15 Touch Core i5 11th Gen,51990,74990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo Ryzen 5 Hexa Core 5600H,59490,89490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,256 GB SSD
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,45990,62990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5,38990,57990,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 14 (2022) Core i5 12th Gen,56990,70990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 15 Core i5 11th Gen,50990,69990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5,58490,76890,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook K15 OLED Ryzen 5 Hexa Core AMD R5,58990,80990,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
HP Victus Ryzen 5 Hexa Core 5600H,59990,76021,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
DELL Inspiron Ryzen 5 Hexa Core 5625U,52490,69031,Processor: R5-5625U (2.30 GHz up to 4.30 GHz),RAM & Storage: 8GB DDR4 & 512GB SSD,Software: Win 11 + Office H&S 2021
acer Aspire Core i3 12th Gen,42990,54999,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Core i5 12th Gen,57990,80473,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores,RAM & Storage: 8GB DDR4 & 1TB + 256GB SSD,"Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border"
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,48990,90990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
MSI Core i5 11th Gen,63990,83990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad Core i5 11th Gen,54990,83890,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook K15 OLED (2022) Core i5 11th Gen,64990,85990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,1 TB HDD|256 GB SSD
ASUS Vivobook Pro 15 OLED Ryzen 7 Octa Core AMD R7,65990,88990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
ASUS Vivobook 14 (2022) Core i5 12th Gen,66990,82990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
acer Aspire 7 Ryzen 5 Hexa Core AMD R5,54990,76999,Free upgrade to Windows 11 when available,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System
ASUS Vivobook 16X Ryzen 5 Hexa Core R5,54990,74990,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
ASUS Vivobook 14 Pentium Quad Core,32311,40990,Intel Pentium Quad Core Processor,8 GB DDR4 RAM,256 GB SSD
ASUS TUF Gaming F15 Core i5 10th Gen,65990,84990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB SSD
acer Extensa Core i3 11th Gen,34990,43999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,63990,86990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
ASUS VivoBook Flip 14 Core i3 11th Gen,44990,63990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,256 GB SSD
acer Aspire 3 Dual Core 3020e,24990,34999,AMD Dual Core Processor,4 GB DDR4 RAM,256 GB SSD
HP Pavilion Intel Core i5 12th Gen,63990,73688,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5,65990,75990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,1 TB SSD
ASUS TUF Gaming F15 Core i5 10th Gen,65990,84990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB SSD
Lenovo IdeaPad Core i5 11th Gen,59990,97890,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,63990,86990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
HP Victus Ryzen 7 Octa Core 5800H,66990,90056,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook 15 (2022) Core i5 10th Gen,46990,62990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo Intel Core i3 11th Gen,40990,61390,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
HP Victus Ryzen 5 Hexa Core 5600H,59990,76021,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook 14 (2022) Core i3 12th Gen,47990,62990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook Flip 14 Core i3 11th Gen,49990,69990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD
DELL Inspiron Ryzen 3 Dual Core 3250U,41190,54435,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD
HP Laptop with Backlit Keyboard Core i3 11th Gen,43499,51724,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
ASUS Core i3 12th Gen,44990,54990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,256 GB SSD
ASUS VivoBook Ultra Ryzen 7 Octa Core AMD R7,57990,84990,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo Ideapad Slim 3 Core i3 10th Gen,35990,61490,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
DELL Ryzen 3 Quad Core 5425U,41490,56834,Processor: R3-5425U (2.70 GHz up to 4.1 GHz),RAM & Storage: 8GB DDR4 & 512GB SSD,Software: Win 11 + Office H&S 2021
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,64990,93690,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,42990,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
Infinix INBook X2 Plus Core i3 11th Gen,37990,44990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,256 GB SSD
ASUS VivoBook Flip 14 Core i5 11th Gen,63990,82990,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD
ASUS Chromebook Flip Touch Celeron Dual Core,15990,31990,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,29.46 cm (11.6 inch) Touchscreen Display
MSI Core i7 12th Gen,68490,83990,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
ASUS Ryzen 5 Hexa Core,54990,72994,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
DELL Inspiron Pentium Silver,32000,44319,Processor: Intel PQC-N5030 (1.10 GHz up to 3.10 GHz),RAM & Storage: 8GB DDR4 & 256GB SSD,Software: Win 11 + Office H&S 2021
ASUS Vivobook Pro 15 OLED Ryzen 7 Octa Core AMD R7,65990,88990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
DELL Inspiron Core i3 12th Gen,61390,78145,Processor: Intel i3-1215U (0.9 GHz up to 4.40 GHz), 6 Cores," 10MB CPU Cache, 512GB SSD"
DELL Inspiron Core i3 11th Gen,40990,57245,Processor-i3-1115G4 Processor upto 4.1 GHz Speed,RAM & Storage: 8GB DDR4," 256GB SSD, SD Card reader"
Lenovo IdeaPad Slim 5 Ryzen 7 Hexa Core 5700U,65990,93690,AMD Ryzen 7 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 11th Gen,40990,59390,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,48990,68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U,37990,54490,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD
Infinix INBook X1 Core i5 10th Gen,47999,59999,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,512 GB SSD
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,48990,68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U,37990,54490,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
ASUS Vivobook 14 Core i5 10th Gen,49490,73990,Intel Core i5 Processor (10th Gen),16 GB DDR4 RAM,512 GB SSD
ASUS Eeebook 14 Pentium Quad Core,28990,40990,Intel Pentium Quad Core Processor,8 GB DDR4 RAM,256 GB SSD
ASUS Vivobook 14 (2022) Core i5 12th Gen,66990,82990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
Lenovo V15 G2 Core i5 11th Gen,49490,81450,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Inspiron Ryzen 3 Dual Core 3250U,36690,52433,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD
ASUS EeeBook 14 with NumberPad Pentium Silver,27990,40990,Intel Pentium Silver Processor,8 GB DDR4 RAM,256 GB SSD
acer Aspire Ryzen 5 Quad Core 3500U,35990,54999,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo Core i3 11th Gen,38790,58680,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
acer Extensa 15 Core i3 11th Gen,32490,44999,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,256 GB SSD
DELL Inspiron Ryzen 3 Quad Core 5425U,44190,56748,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook 14 (2022) Core i3 12th Gen,47990,62990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,40990,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Infinix X1 Slim Series Core i3 10th Gen,35990,49999,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,256 GB SSD
DELL Vostro Core i3 10th Gen,41990,54783,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
realme Book (Slim) Core i3 11th Gen,46990,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness
ASUS Vivobook 14 (2022) Core i3 12th Gen,49990,62990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i5 11th Gen,55490,71990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,55000,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
DELL Core i3 12th Gen,56749,73735,Processor: Intel i3-1215U (0.9 GHz up to 4.40 GHz), 6 Cores & 10 MB CPU Cache,RAM & Storage: 8GB
HP 255 G8 Ryzen 3 Dual Core AMD Ryzen3 3250,34190,44912,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook Flip 14 Core i3 11th Gen,44990,66990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,256 GB SSD
HP Ryzen 7 Octa Core 5700U,64990,71766,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
HP Ryzen 5 Hexa Core 5500U,46329,61388,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo Core i3 11th Gen,40990,90990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
acer Nitro 5 Ryzen 5 Hexa Core 5600H,63990,95999,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
DELL Core i3 11th Gen,60900,73600,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Core i3 11th Gen,45990,58200,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
HP 15s Intel Core i3 11th Gen,39890,47264,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
ASUS Core i3 10th Gen,33990,50990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
Infinix X1 Slim Series Core i5 10th Gen,49990,64999,Intel Core i5 Processor (10th Gen),16 GB LPDDR4X RAM,512 GB SSD
DELL Vostro Ryzen 3 Dual Core R3,36400,50651,Processor: AMD Ryzen 3-3250U (2.60 GHz up to 3.50 GHz),RAM & Storage: 8GB DDR4 (2 DIMM Slots) & 1TB HDD,"Display: 14.0"" FHD WVA AG Narrow Border"
Lenovo IdeaPad 1 Ryzen 5 Quad Core 3500U,45490,60090,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo Ideapad AMD Ryzen 5 Hexa Core 5500U,48990,68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
HP Intel Core i3 11th Gen,40990,45892,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
ASUS Core i3 11th Gen,33990,44990,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,256 GB SSD
DELL Inspiron Core i3 10th Gen,39890,44634,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
HP Ryzen 7 Octa Core 5700U,60990,73625,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD
acer Nitro 5 Ryzen 5 Hexa Core 4600H,61490,99999,Free upgrade to Windows 11 when available,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 Operating System
HP 15s Intel Core i3 11th Gen,44650,50982,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Core i5 11th Gen,67990,75826,NVIDIA RTX 3050 Graphics upto 90W TGP,15.6 inch Full HD AG Display (250 nits Brightness, 120Hz
