ProductName,Current_Price,MRP,Proccessor,Ram,Storage
Infinix INBook X2 Plus Core i3 11th Gen,40990,49990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD
ASUS Core i3 12th Gen,42990,57990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
HP Core i3 11th Gen,43250,51724,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Ryzen 3 Dual Core,33990,48990,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
Infinix INBook X1 Neo Series Celeron Quad Core,24999,39990,Intel Celeron Quad Core Processor,8 GB LPDDR4X RAM,256 GB SSD
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core AMD R5,65990,95790,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Infinix X1 Slim Series Core i7 10th Gen,54990,69999,Intel Core i7 Processor (10th Gen),16 GB LPDDR4X RAM,512 GB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
acer Aspire 7 Core i5 12th Gen,57990,83999,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Inspiron Core i5 11th Gen,69890,87600,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 11th Gen,37490,61590,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
DELL Inspiron Core i5 12th Gen,65390,85751,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i5 12th Gen,62490,76890,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U,63990,95090,AMD Ryzen 5 Hexa Core Processor,16 GB LPDDR4X RAM,512 GB SSD
HP Victus Ryzen 7 Octa Core 5800H,68990,86547,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook Flip 14 Core i3 11th Gen,49990,67990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD
Infinix X1 Slim Series Core i5 10th Gen,44990,59999,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,512 GB SSD
Vaio E Series Ryzen 5 Quad Core 3500U,41990,66990,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,40990,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Inspiron Core i5 11th Gen,49890,90783,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
DELL Inspiron Core i3 11th Gen,39690,51493,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD
acer Aspire Vero (Green PC) Core i5 11th Gen,54990,79999,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 15 Core i3 11th Gen,39990,56990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Infinix INBook X1 Neo Series Celeron Quad Core,20990,29990,Intel Celeron Quad Core Processor,4 GB LPDDR4X RAM,128 GB SSD
HP G8 Core i3 11th Gen,34690,45743,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
realme Book (Slim) Core i3 11th Gen,46990,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness
DELL Inspiron Core i5 11th Gen,57990,73171,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
DELL Inspiron Core i3 11th Gen,61900,72600,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
acer Aspire 5 Core i5 12th Gen,57990,74999,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Inspiron Core i3 11th Gen,44290,55047,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
ASUS Vivobook K15 OLED Ryzen 5 Hexa Core AMD R5,58990,80990,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
DELL Vostro Core i3 10th Gen,42490,57858,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,1 TB HDD|256 GB SSD
HP 15s Core i3 11th Gen,37770,48052,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,50990,67990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
DELL Core i5 12th Gen,61490,79928,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
HP Pavilion Gaming Ryzen 5 Quad Core 3550H,59990,0,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,63990,86990,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
DELL Ryzen 3 Quad Core 5425U,43490,55384,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
DELL Vostro Core i3 11th Gen,42890,44427,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
Lenovo IdeaPad 3 Celeron Dual Core 4th Gen,25990,40490,Intel Celeron Dual Core Processor (4th Gen),4 GB DDR4 RAM,256 GB SSD
Infinix X1 Slim Series Core i3 10th Gen,35990,49999,Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,256 GB SSD
HP 15s Intel Core i3 11th Gen,41999,47834,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i5 12th Gen,66490,82490,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
DELL Vostro Core i3 10th Gen,42490,54781,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
Lenovo Core i3 11th Gen,40699,55695,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS TUF Gaming A17 Ryzen 5 Hexa Core AMD R5,64590,81990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo Ryzen 3 Dual Core 3250U,31490,36923,AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,1 TB HDD
DELL Inspiron Ryzen 3 Dual Core 3250U,44090,56771,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD
HP Athlon Dual Core 3050U,29490,39288,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
DELL Inspiron Core i3 10th Gen,45390,60490,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
HP Ryzen 3 Quad Core 5300U,41990,52900,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
DELL Vostro Ryzen 3 Dual Core 3250U,42190,51105,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
DELL Vostro Ryzen 5 Hexa Core 5625U,67115,82373,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
DELL Core i3 12th Gen,47990,55047,Processor: Intel i3-1215U (Base- 0.9 GHz & Turbo up to 4.40 GHz) 6 Cores,RAM & Storage: 8GB DDR4 & 512GB SSD,"Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border"
HP 14s Intel Celeron Dual Core,27891,36865,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,256 GB SSD
MSI Ryzen 7 Octa Core 5700U,52990,78990,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS Core i3 11th Gen,35990,52990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
MSI Bravo Ryzen 5 Hexa Core 5600H,58500,83990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
HP Athlon Dual Core 3050U,25612,31690,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,256 GB SSD
DELL Inspiron Core i3 11th Gen,43490,56776,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
ASUS VivoBook 15 (2022) Core i3 10th Gen,35990,50990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 15 Ryzen 3 Dual Core AMD R3,34990,46990,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD
acer Aspire 7 Core i5 12th Gen,61990,94999,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,36133,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
DELL Vostro 3405 Athlon Dual Core 3050,28290,39874,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,256 GB SSD
MSI GF63 Thin Hexa Core i5 10th Gen,54490,76990,Intel Hexa Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
Lenovo Core i3 10th Gen,38990,62190,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Inspiron Core i5 11th Gen,60390,65321,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
Avita Pura E,29990,47990,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
SAMSUNG Galaxy Book2 Core i5 12th Gen,61990,79990,Intel Core i5 Processor (12th Gen),8 GB LPDDR4X RAM,256 GB SSD
HP Pavilion Ryzen 5 Hexa Core AMD R5,63990,73544,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
ASUS Vivobook AMD R5 5600H Ryzen 5 Hexa Core 10th Gen,54980,74990,AMD Ryzen 5 Hexa Core Processor (10th Gen),16 GB DDR4 RAM,512 GB SSD
HP Pavilion Ryzen 5 Hexa Core 5625U,55200,64491,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
HP 15s Intel Core i3 11th Gen,41490,51470,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
HP Core i5 7th Gen,60000,113737,Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)
acer Aspire 3 Pentium Silver,26490,32990,Intel Pentium Silver Processor,4 GB DDR4 RAM,256 GB SSD
DELL Core i5 11th Gen,59390,74619,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo Ryzen 5 Hexa Core 5600H,59490,89490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,256 GB SSD
DELL Inspiron Ryzen 7 Octa Core 5825U,66190,85550,Processor: AMD Ryzen 7-5825U (2.00 GHz up to 4.50 GHz),RAM & Storage: 8GB DDR4 (2 DIMM Slots) & 512GB SSD,"Display: 15.6"" FHD WVA AG Narrow Border 120Hz 250 nits"
DELL Core i3 11th Gen,42500,55350,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD
acer Aspire 7 Core i5 12th Gen,69990,88999,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Core i3 12th Gen,47990,55047,Processor: Intel i3-1215U (Base- 0.9 GHz & Turbo up to 4.40 GHz) 6 Cores,RAM & Storage: 8GB DDR4 & 512GB SSD,"Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border"
Lenovo IdeaPad Core i3 10th Gen,35990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
DELL Inspiron Core i3 10th Gen,46880,63200,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
MSI Ryzen 7 Octa Core 5700U,52990,78990,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS Core i3 11th Gen,35990,52990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
Infinix X1 Slim Series Core i5 10th Gen,44990,59999,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,512 GB SSD
Lenovo IdeaPad 3 Ryzen 3 Dual Core 3250U,37990,43990,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD
acer Nitro 5 Ryzen 5 Hexa Core AMD R5,67990,92999,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
acer Aspire 3 Core i3 11th Gen,35500,50000,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,256 GB SSD
Lenovo Athlon Dual Core 3050U,20990,35000,AMD Athlon Dual Core Processor,4 GB DDR4 RAM,256 GB SSD
acer Nitro 5 Ryzen 5 Hexa Core AMD R5,67990,92999,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
acer Aspire 3 Pentium Silver,28490,36990,Intel Pentium Silver Processor,8 GB DDR4 RAM,256 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
HP 15s Intel Core i5 12th Gen,66000,72210,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
DELL Inspiron Core i3 10th Gen,46880,63200,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Ryzen 5 Dual Core 5th Gen,61990,76990,AMD Ryzen 5 Dual Core Processor (5th Gen),8 GB DDR4 RAM,512 GB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
acer Nitro 5 Core i5 11th Gen,63999,99990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Core i3 12th Gen,47990,55047,Processor: Intel i3-1215U (Base- 0.9 GHz & Turbo up to 4.40 GHz) 6 Cores,RAM & Storage: 8GB DDR4 & 512GB SSD,"Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border"
acer Aspire 5 Ryzen 7 Octa Core 5700U,59990,79999,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 14 (2022) Core i3 12th Gen,49990,62990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
Avita SATUS S111 Celeron Dual Core,16990,29990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,128 GB SSD
HP Core i5 7th Gen,60000,113737,Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)
DELL Core i3 11th Gen,42500,55350,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD
DELL Vostro Core i3 11th Gen,41290,55347,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
DELL Inspiron Core i3 11th Gen,45990,46156,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,512 GB SSD
acer Aspire 3 Pentium Silver,26490,32990,Intel Pentium Silver Processor,4 GB DDR4 RAM,256 GB SSD
ASUS Vivobook AMD R5 5600H Ryzen 5 Hexa Core 10th Gen,54980,74990,AMD Ryzen 5 Hexa Core Processor (10th Gen),16 GB DDR4 RAM,512 GB SSD
MSI Core i5 12th Gen,58490,72990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
DELL Inspiron Core i5 11th Gen,65359,83034,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Nokia PureBook X14 Core i5 10th Gen,50490,90000,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
HP Ryzen 3 Dual Core 3250U,37990,46052,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD
Infinix INBook X2 Plus Core i3 11th Gen,40990,49990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD
Lenovo IdeaPad 3 Dual Core 3020e,27990,38390,AMD Dual Core Processor,4 GB DDR4 RAM,256 GB SSD
acer Swift 3 Ryzen 5 Hexa Core 5500U,62500,89999,AMD Ryzen 5 Hexa Core Processor,8 GB LPDDR4X RAM,512 GB SSD
Lenovo Ideapad Slim 3i (2021) Core i3 10th Gen,40200,49999,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
Lenovo Core i5 11th Gen,58226,89990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
HP Pavilion Intel Core i5 12th Gen,63990,75799,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Core i5 10th Gen,69088,80990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
DELL Core i3 12th Gen,50090,64133,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Inspiron Ryzen 5 Quad Core 3450U,44990,56573,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,256 GB SSD
ASUS Chromebook Celeron Dual Core,25990,29990,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,35.56 cm (14 inch) Touchscreen Display
HP HP 250 G7 Core i5 10th Gen,54890,76800,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB HDD|512 GB SSD
ASUS ExpertBook P1 Core i5 10th Gen,61249,68990,Intel Core i5 Processor (10th Gen),4 GB DDR4 RAM,1 TB HDD
DELL Ryzen 5 Quad Core,52990,66560,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD
Lenovo Intel Core i5 11th Gen,68990,79890,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
ASUS ExpertBook P2 Core i5 10th Gen,69290,77990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD
HP 14s Ryzen 5 Hexa Core 5500U,52490,56162,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
DELL Inspiron Ryzen 5 Quad Core 3450U,49890,63973,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS ExpertBook P1 Core i5 10th Gen,62490,70990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD
DELL Vostro Core i5 12th Gen,69160,89694,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
SAMSUNG Core i5 12th Gen,59990,67990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook 15 OLED (2022) Core i3 12th Gen,50990,66990,Get unparalleled power and reliability with the new Intel 12th Gen CPU,15.6 Inch Full HD OLED 16:9 aspect ratio, 0.2ms response time
DELL Inspiron 3000 Core i3 11th Gen,38170,58229,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Nokia PureBook S14 Core i5 11th Gen,40990,82990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
acer Nitro 5 Ryzen 5 Hexa Core AMD R5,59990,79999,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
Infinix X1 Slim Series Core i5 10th Gen,49990,64999,Intel Core i5 Processor (10th Gen),16 GB LPDDR4X RAM,512 GB SSD
ASUS VivoBook 14 (2022) Core i5 12th Gen,62990,82990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
HP Ryzen 3 Hexa Core 4th Gen,60990,68360,AMD Ryzen 3 Hexa Core Processor (4th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Ryzen 5 Quad Core,52990,66560,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD
SAMSUNG Core i5 12th Gen,59990,67990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
realme Book(Slim) Intel Evo Core i5 11th Gen,59990,69999,Powered by 11th Gen Intel Evo Core i5 Processor,Microsoft Office 2019 Home & Student Included,Intel Core i5 Processor (11th Gen)
DELL Vostro Ryzen 5 Quad Core 3500U,49690,61740,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
Mi Notebook Horizon Edition 14 Core i7 10th Gen,59990,65999,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo Core i3 11th Gen,38990,51544,Intel Core i3 Processor (11th Gen),4 GB DDR4 RAM,256 GB SSD
Lenovo Ryzen 5 Hexa Core 5600H,59490,89490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,256 GB SSD
DELL Inspiron Core i5 11th Gen,68490,84173,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
MSI GL Core i7 7th Gen,59990,79257,Full HD LED Backlit Anti-glare Wideview Display for Better Visual Experience,NVIDIA Geforce GTX 1050 for Desktop Level Performance,8 GB DDR4 RAM
Infinix INBook X2 Plus Core i7 11th Gen,57990,79990,Intel Core i7 Processor (11th Gen),16 GB LPDDR4X RAM,512 GB SSD
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,58900,93690,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS (2022) Celeron Dual Core,29990,36990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,128 GB SSD
ASUS (2022) Celeron Dual Core,24990,30990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,128 GB SSD
DELL Inspiron Core i3 10th Gen,42990,48900,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,1 TB HDD
DELL Vostro Core i3 11th Gen,42390,44780,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD
HP Pavilion Gaming Ryzen 5 Hexa Core AMD R5,57690,73856,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD
ASUS VivoBook Ultra 14 (2021) Core i5 11th Gen,55990,80990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,44990,56990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
acer Aspire 5 Core i5 12th Gen,57990,73999,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
acer Aspire 3 Ryzen 3 Dual Core 3250U,35990,44999,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD
DELL Inspiron Core i5 11th Gen,69990,89489,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H,62490,63104,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,1 TB HDD|256 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,31990,53790,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,256 GB SSD
ASUS TUF Gaming F15 Core i5 10th Gen,59990,84990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB SSD
